sample_title	richness	invSimpson
PF2-solid	3148	75.27402378
s-MPFSW1	1942	19.50078577
s-MPFSW2	1789	22.14184801
s-MPFSW3	1895	30.60463333
s-Mst-SWPF1	1505	10.79669538
s-Mst-SWPF2	1650	8.116947695
s-PFSW1	3354	113.6950597
s-PFSW2	2349	20.41245127
s-PFSW3	2220	19.60484226
s-PFSW4	2067	19.28201507
s-PFSW5	1907	19.9547581
s-PFSW6	2144	18.19858432
s-PFSW7	2205	27.68128008
s-PFSW8	1741	29.81746104
s-PFSW9	2431	26.33255579
s-PFSW10	2284	24.73635153
s-PFSW11	2150	28.20163308
s-PFSW12	3468	111.7857073
s-PFSW13	1752	31.06962379
s-PFSW14	3447	125.833616
s-PFSW15	2947	8.851176997
s-PFSW16	2788	13.16510961
s-PFSW17	2445	12.35756562
s-PFSW18	2824	14.07260818
s-PFSW19	2528	15.80708607
s-PFSW20	2195	16.00725833
s-st-SWPF1	3490	100.8660672
s-st-SWPF2	2694	3.91753516
s-st-SWPF3	2206	3.347365504
s-st-SWPF4	2168	4.732360717
s-st-SWPF5	1871	4.291588115
s-st-SWPF6	1707	5.088498547
w-AT-114-1-MRFilter1	1504	76.41963477
w-AT-114-1-MRFilter2	1482	51.31810091
w-AT-112-1-MRFilter1	1428	68.1422846
w-AT-112-1-MRFilter2	1519	46.61343481
w-MPFSW1	837	23.78295722
w-MPFSW2	1128	22.33738727
w-MPFSW3	748	14.48853176
w-Mst-SW1	180	3.532558773
w-Mst-SW2	202	3.636890386
w-Mst-SWPF1	287	3.726701009
w-Mst-SWPF2	244	4.071734701
w-OriginalSW1	1037	30.27487609
w-OriginalSW2	1087	33.31908045
w-OriginalSW3	1155	32.27366875
w-PFSW1	3145	86.77623979
w-PFSW2	576	10.6347528
w-PFSW3	599	13.3514468
w-PFSW4	583	10.81421
w-PFSW5	442	9.075121668
w-PFSW6	576	10.47096694
w-PFSW7	452	7.615972407
w-PFSW8	963	19.09416045
w-PFSW9	747	10.54916162
w-PFSW10	570	21.42870675
w-PFSW11	655	15.55899172
w-PFSW12	3112	83.48257122
w-PFSW13	662	9.975559858
w-PFSW14	2561	61.16444851
w-PFSW15	1903	5.676244506
w-PFSW16	617	5.460696218
w-PFSW17	740	6.381488261
w-PFSW18	664	6.261293155
w-PFSW19	624	9.252677341
w-PFSW20	588	9.722099224
w-st-SW1	271	13.83067555
w-st-SW2	159	4.010491347
w-st-SW3	138	2.925373933
w-st-SW4	201	4.224709401
w-st-SW5	180	5.375109491
w-st-SW6	125	1.422291091
w-st-SWPF1	102	70.05405405
w-st-SWPF2	281	1.160063335
w-st-SWPF3	231	3.384998301
w-st-SWPF4	311	3.480894045
w-st-SWPF5	282	4.622436165
w-st-SWPF6	375	4.741454562
