sample_title	study_accession	run_accession	sample_accession	experiment_accession	fastq_ftp
w-PFSW1	PRJEB59831	ERR10867705	SAMEA112625081	ERX10312450	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR10867705/ERR10867705_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/005/ERR10867705/ERR10867705_2.fastq.gz
w-MPFSW3	PRJEB59831	ERR10867706	SAMEA112625082	ERX10312451	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/006/ERR10867706/ERR10867706_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/006/ERR10867706/ERR10867706_2.fastq.gz
w-MPFSW1	PRJEB59831	ERR10867708	SAMEA112625084	ERX10312453	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR10867708/ERR10867708_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/008/ERR10867708/ERR10867708_2.fastq.gz
w-Mst-SWPF2	PRJEB59831	ERR10867709	SAMEA112625085	ERX10312454	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/009/ERR10867709/ERR10867709_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/009/ERR10867709/ERR10867709_2.fastq.gz
w-Mst-SWPF1	PRJEB59831	ERR10867710	SAMEA112625086	ERX10312455	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10867710/ERR10867710_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/010/ERR10867710/ERR10867710_2.fastq.gz
w-PFSW3	PRJEB59831	ERR10867703	SAMEA112625079	ERX10312448	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR10867703/ERR10867703_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/003/ERR10867703/ERR10867703_2.fastq.gz
w-st-SWPF6	PRJEB59831	ERR10867713	SAMEA112625089	ERX10312458	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10867713/ERR10867713_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/013/ERR10867713/ERR10867713_2.fastq.gz
w-PFSW2	PRJEB59831	ERR10867704	SAMEA112625080	ERX10312449	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR10867704/ERR10867704_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/004/ERR10867704/ERR10867704_2.fastq.gz
w-st-SWPF5	PRJEB59831	ERR10867714	SAMEA112625090	ERX10312459	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/014/ERR10867714/ERR10867714_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/014/ERR10867714/ERR10867714_2.fastq.gz
w-MPFSW2	PRJEB59831	ERR10867707	SAMEA112625083	ERX10312452	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR10867707/ERR10867707_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/007/ERR10867707/ERR10867707_2.fastq.gz
w-st-SWPF4	PRJEB59831	ERR10867715	SAMEA112625091	ERX10312460	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/015/ERR10867715/ERR10867715_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/015/ERR10867715/ERR10867715_2.fastq.gz
w-st-SWPF1	PRJEB59831	ERR10867718	SAMEA112625094	ERX10312463	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/018/ERR10867718/ERR10867718_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/018/ERR10867718/ERR10867718_2.fastq.gz
w-st-SW3	PRJEB59831	ERR10867722	SAMEA112625098	ERX10312467	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/022/ERR10867722/ERR10867722_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/022/ERR10867722/ERR10867722_2.fastq.gz
w-st-SW1	PRJEB59831	ERR10867724	SAMEA112625100	ERX10312469	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/024/ERR10867724/ERR10867724_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/024/ERR10867724/ERR10867724_2.fastq.gz
s-PFSW19	PRJEB59831	ERR10867726	SAMEA112625102	ERX10312471	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10867726/ERR10867726_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/026/ERR10867726/ERR10867726_2.fastq.gz
w-Mst-SW2	PRJEB59831	ERR10867711	SAMEA112625087	ERX10312456	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/011/ERR10867711/ERR10867711_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/011/ERR10867711/ERR10867711_2.fastq.gz
s-PFSW18	PRJEB59831	ERR10867727	SAMEA112625103	ERX10312472	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10867727/ERR10867727_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/027/ERR10867727/ERR10867727_2.fastq.gz
w-Mst-SW1	PRJEB59831	ERR10867712	SAMEA112625088	ERX10312457	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/012/ERR10867712/ERR10867712_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/012/ERR10867712/ERR10867712_2.fastq.gz
s-PFSW15	PRJEB59831	ERR10867730	SAMEA112625106	ERX10312475	ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/030/ERR10867730/ERR10867730_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR108/030/ERR10867730/ERR10867730_2.fastq.gz
