sample_title	type	label_in_figures	date	days	period	phase	sample collection device	sampleVolume_mL	DNA_conc	NOx	SO4	NO2	PO4	NH4	NO3	CO2_prod	clip_id	miseq_id	fastq_fw	fastq_rev	description
PF2-solid	orgYE	orgYE	2021-08-31	orgYE	early	solid	PowerSoil Tube	5	NA	NA	NA	NA	NA	NA	NA	0	Manuel-Ruben-PF2-solid_clip	Manuel-Ruben-PF2-solid	Manuel-Ruben-PF2-solid_S96_L001_R1_001.fastq.gz	Manuel-Ruben-PF2-solid_S96_L001_R2_001.fastq.gz	original permafrost
s-MPFSW1	SW+YE_s_mon	SW+YE_s_mon	2022-01-26	85	late	solid	PowerSoil Tube	0.51	9.1	5.16	14.33	0.06	0.15	45.84	5.10	NA	s-MPFSW1_clip	20220126-s-MPFSW1	20220126-s-MPFSW1_S77_L001_R1_001.fastq.gz	20220126-s-MPFSW1_S77_L001_R2_001.fastq.gz	permafrost slurry (optodes)
s-MPFSW2	SW+YE_s_mon	SW+YE_s_mon	2022-01-26	85	late	solid	PowerSoil Tube	0.53	8.6	4.95	12.72	0.05	0.09	47.25	4.89	NA	s-MPFSW2_clip	20220126-s-MPFSW2	20220126-s-MPFSW2_S89_L001_R1_001.fastq.gz	20220126-s-MPFSW2_S89_L001_R2_001.fastq.gz	permafrost slurry (optodes)
s-MPFSW3	SW+YE_s_mon	SW+YE_s_mon	2022-01-26	85	late	solid	PowerSoil Tube	0.67	9.3	5.11	13.44	0.08	0.14	47.59	5.02	NA	s-MPFSW3_clip	20220126-s-MPFSW3	20220126-s-MPFSW3_S7_L001_R1_001.fastq.gz	20220126-s-MPFSW3_S7_L001_R2_001.fastq.gz	permafrost slurry (optodes)
s-Mst-SWPF1	fSW+YE_s_mon	fSW+YE_s_mon	2022-01-26	85	late	solid	PowerSoil Tube	0.66	6.2	4.94	12.82	0.04	0.10	35.87	4.90	NA	s-Mst-SWPF1_clip	20220126-s-Mst-SWPF1	20220126-s-Mst-SWPF1_S19_L001_R1_001.fastq.gz	20220126-s-Mst-SWPF1_S19_L001_R2_001.fastq.gz	permafrost slurry (control + optodes)
s-Mst-SWPF2	fSW+YE_s_mon	fSW+YE_s_mon	2022-01-26	85	late	solid	PowerSoil Tube	0.33	3.96	4.96	13.24	0.05	0.12	39.72	4.91	NA	s-Mst-SWPF2_clip	20220126-s-Mst-SWPF2	20220126-s-Mst-SWPF2_S31_L001_R1_001.fastq.gz	20220126-s-Mst-SWPF2_S31_L001_R2_001.fastq.gz	permafrost slurry (control + optodes)
s-PFSW1	SW+YE_s	SW+YE (sed)	2021-11-02	0	early	solid	PowerSoil Tube	0.66	3.96	5.17	8.77	0.03	0.29	39.01	5.15	0.00	s-PFSW1_clip	20211102-s-PFSW1	20211102-s-PFSW1_S43_L001_R1_001.fastq.gz	20211102-s-PFSW1_S43_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW10	SW+YE_s	SW+YE (sed)	2021-11-25	23	early	solid	PowerSoil Tube	0.39	2.67	5.20	9.02	0.02	0.28	38.06	5.17	1.42	s-PFSW10_clip	20211125-s-PFSW10	20211125-s-PFSW10_S55_L001_R1_001.fastq.gz	20211125-s-PFSW10_S55_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW11	SW+YE_s	SW+YE (sed)	2021-12-01	23	early	solid	PowerSoil Tube	0.37	4.96	5.19	8.49	0.03	0.28	38.93	5.16	1.65	s-PFSW11_clip	20211201-s-PFSW11	20211201-s-PFSW11_S67_L001_R1_001.fastq.gz	20211201-s-PFSW11_S67_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW12	SW+YE_s	SW+YE (sed)	2021-12-01	23	early	solid	PowerSoil Tube	0.56	5.6	5.18	12.57	0.03	0.14	35.47	5.16	1.65	s-PFSW12_clip	20211201-s-PFSW12	20211201-s-PFSW12_S79_L001_R1_001.fastq.gz	20211201-s-PFSW12_S79_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW13	SW+YE_s	SW+YE (sed)	2021-12-01	29	early	solid	PowerSoil Tube	0.38	5.1	5.19	12.58	0.04	0.10	26.86	5.15	1.65	s-PFSW13_clip	20211201-s-PFSW13	20211201-s-PFSW13_S91_L001_R1_001.fastq.gz	20211201-s-PFSW13_S91_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW14	SW+YE_s	SW+YE (sed)	2021-12-15	43	early	solid	PowerSoil Tube	0.446	5.5	5.26	13.92	0.04	0.11	27.55	5.23	0.63	s-PFSW14_clip	20211215-s-PFSW14	20211215-s-PFSW14_S9_L001_R1_001.fastq.gz	20211215-s-PFSW14_S9_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW15	SW+YE_s	SW+YE (sed)	2021-12-29	57	late	solid	PowerSoil Tube	0.41	7.5	5.21	12.56	0.04	0.07	27.09	5.17	1.00	s-PFSW15_clip	20211229-s-PFSW15	20211229-s-PFSW15_S21_L001_R1_001.fastq.gz	20211229-s-PFSW15_S21_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW16	SW+YE_s	SW+YE (sed)	2022-01-12	71	late	solid	PowerSoil Tube	0.42	4.77	1.28	4.73	0.01	0.05	12.70	1.27	0.38	s-PFSW16_clip	20220112-s-PFSW16	20220112-s-PFSW16_S33_L001_R1_001.fastq.gz	20220112-s-PFSW16_S33_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW17	SW+YE_s	SW+YE (sed)	2022-01-26	85	late	solid	PowerSoil Tube	0.44	6.3	5.62	16.41	0.04	0.18	28.40	5.58	0.41	s-PFSW17_clip	20220126-s-PFSW17	20220126-s-PFSW17_S45_L001_R1_001.fastq.gz	20220126-s-PFSW17_S45_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW18	SW+YE_s	SW+YE (sed)	2022-01-26	85	late	solid	PowerSoil Tube	0.33	4.4	5.27	16.48	0.04	0.23	30.84	5.23	0.41	s-PFSW18_clip	20220126-s-PFSW18	20220126-s-PFSW18_S56_L001_R1_001.fastq.gz	20220126-s-PFSW18_S56_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW19	SW+YE_s	SW+YE (sed)	2022-01-26	85	late	solid	PowerSoil Tube	0.4	6.7	5.19	17.70	0.03	0.26	35.20	5.16	0.41	s-PFSW19_clip	20220126-s-PFSW19	20220126-s-PFSW19_S68_L001_R1_001.fastq.gz	20220126-s-PFSW19_S68_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW2	SW+YE_s	SW+YE (sed)	2021-11-02	0	early	solid	PowerSoil Tube	1	2.95	5.35	15.57	0.03	0.17	34.79	5.32	0.00	s-PFSW2_clip	20211102-s-PFSW2	20211102-s-PFSW2_S54_L001_R1_001.fastq.gz	20211102-s-PFSW2_S54_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW20	SW+YE_s	SW+YE (sed)	2022-01-26	85	late	solid	PowerSoil Tube	0.51	8.3	5.29	13.83	0.03	0.16	37.21	5.26	0.41	s-PFSW20_clip	20220126-s-PFSW20	20220126-s-PFSW20_S80_L001_R1_001.fastq.gz	20220126-s-PFSW20_S80_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW3	SW+YE_s	SW+YE (sed)	2021-11-02	0	early	solid	PowerSoil Tube	0.86	4.07	5.19	13.47	0.04	0.18	43.76	5.15	0.00	s-PFSW3_clip	20211102-s-PFSW3	20211102-s-PFSW3_S66_L001_R1_001.fastq.gz	20211102-s-PFSW3_S66_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW4	SW+YE_s	SW+YE (sed)	2021-11-06	4	early	solid	PowerSoil Tube	0.44	4.39	5.34	17.40	0.06	0.23	49.17	5.28	1.99	s-PFSW4_clip	20211106-s-PFSW4	20211106-s-PFSW4_S78_L001_R1_001.fastq.gz	20211106-s-PFSW4_S78_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW5	SW+YE_s	SW+YE (sed)	2021-11-10	8	early	solid	PowerSoil Tube	0.487	6.3	5.22	20.17	0.07	0.17	51.22	5.15	5.07	s-PFSW5_clip	20211110-s-PFSW5	20211110-s-PFSW5_S90_L001_R1_001.fastq.gz	20211110-s-PFSW5_S90_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW6	SW+YE_s	SW+YE (sed)	2021-11-10	8	early	solid	PowerSoil Tube	0.4	4.22	5.40	22.37	0.10	0.31	54.21	5.30	5.07	s-PFSW6_clip	20211110-s-PFSW6	20211110-s-PFSW6_S8_L001_R1_001.fastq.gz	20211110-s-PFSW6_S8_L001_R2_001.fastq.gz	permafrost slurry
s-PFSW7	SW+YE_s	SW+YE (sed)	2021-11-10	8	early	solid	PowerSoil Tube	0.36	5.7	5.32	16.01	0.09	0.20	54.32	5.23	5.07	s-PFSW7_clip	20211110-s-PFSW7	20211110-s-PFSW7_S20_L001_R1_001.fastq.gz	20211110-s-PFSW7_S20_L001_R2_001.fastq.gz	permafrost slurry
