Manuel-Ruben-PF2-solid_clip	s-MPFSW1_clip	s-MPFSW2_clip	s-MPFSW3_clip	s-Mst-SWPF1_clip	s-Mst-SWPF2_clip	s-PFSW1_clip	s-PFSW10_clip	s-PFSW11_clip	s-PFSW12_clip	s-PFSW13_clip	s-PFSW14_clip	s-PFSW15_clip	s-PFSW16_clip	s-PFSW17_clip	s-PFSW18_clip	s-PFSW19_clip	s-PFSW2_clip	s-PFSW20_clip	s-PFSW3_clip	s-PFSW4_clip	s-PFSW5_clip	s-PFSW6_clip	s-PFSW7_clip	s-PFSW8_clip	s-PFSW9_clip	s-st-SWPF1_clip	s-st-SWPF2_clip	s-st-SWPF3_clip	s-st-SWPF4_clip	s-st-SWPF5_clip	s-st-SWPF6_clip	w-AT-112-1-MRFilter1_clip	w-AT-112-1-MRFilter2_clip	w-AT-114-1-MRFilter1_clip	w-AT-114-1-MRFilter2_clip	w-MPFSW1_clip	w-MPFSW2_clip	w-MPFSW3_clip	w-Mst-SW1_clip	w-Mst-SW2_clip	w-Mst-SWPF1_clip	w-Mst-SWPF2_clip	w-negativ-25c_clip	w-negativ-30c_clip	w-OriginalSW1_clip	w-OriginalSW2_clip	w-OriginalSW3_clip	w-PFSW1_clip	w-PFSW10_clip	w-PFSW11_clip	w-PFSW12_clip	w-PFSW13_clip	w-PFSW14_clip	w-PFSW15_clip	w-PFSW16_clip	w-PFSW17_clip	w-PFSW18_clip	w-PFSW19_clip	w-PFSW2_clip	w-PFSW20_clip	w-PFSW3_clip	w-PFSW4_clip	w-PFSW5_clip	w-PFSW6_clip	w-PFSW7_clip	w-PFSW8_clip	w-PFSW9_clip	w-st-SW1_clip	w-st-SW2_clip	w-st-SW3_clip	w-st-SW4_clip	w-st-SW5_clip	w-st-SW6_clip	w-st-SWPF1_clip	w-st-SWPF2_clip	w-st-SWPF3_clip	w-st-SWPF4_clip	w-st-SWPF5_clip	w-st-SWPF6_clip
asv1	288	600	345	457	23804	36299	534	14133	15729	10648	8593	10235	1678	1058	715	414	445	679	798	607	20271	21598	15299	19260	17152	19724	575	80874	69570	80717	89263	82498	85	70	72	61	653	763	1112	147	73	50212	48073	116	98	19	35	28	3786	13177	6681	2671	1978	4562	328	1188	158	301	747	2417	700	4217	13667	49445	60602	39393	19863	18440	1092	1431	32	44	3	68	57	113210	65186	50744	41835	54073
asv2	0	702	542	492	1752	2003	129	4951	2324	1827	1790	2257	1859	485	1860	1395	871	238	434	214	33695	26796	21690	21133	8197	4678	23	6943	5263	6611	3149	2766	28	11	18	27	50	143	133	7478	5426	5645	3596	31	15	7316	7667	9895	2752	17276	7516	1909	778	701	54	72	46	37	28	3021	67	4189	25099	14205	28031	16926	26567	23583	1057	5813	16260	10471	6770	965	14	1849	4215	10781	8086	7775
asv3	1	2814	3483	4016	23	12	38	13068	19414	17534	10785	6593	12162	2430	2250	1323	673	72	6925	51	15859	34336	28596	26208	17268	18414	17	529	9	3	7	12	516	289	163	100	367	622	227	2413	6	9	12	12	15	497	454	674	159	6090	3640	1234	580	906	423	861	64	51	49	191	298	244	2754	15170	28574	25580	31832	8808	720	206	12	16	0	5	4	10	12	9	11	6
asv4	3	129	65	88	5590	960	37	2193	2227	3272	1408	120	331	166	181	64	95	64	272	71	217	2298	1408	929	2191	1592	40	10	227	1951	5179	10847	232	202	213	177	627	478	701	44	1307	30111	17354	40	24	4141	4473	6018	2425	22724	13192	6035	3096	2956	178	572	292	622	532	2909	923	4567	6351	12201	18644	12614	22980	23569	739	584	696	77	6	7	18	7	5753	16064	27622	27615
asv5	0	64	37	47	126	65	185	2716	1385	1092	791	376	200	51	110	245	53	295	41	206	17036	7643	7340	5286	3209	4769	36	653	813	284	358	607	17	15	21	12	73	130	108	84	43	614	296	6	9	11193	11500	15183	3908	18670	8864	2530	959	1119	19	91	239	65	77	4312	184	6114	36710	19139	31356	22801	26495	18476	1760	935	2592	5337	1597	329	8	617	3382	1414	1193	2122
asv6	0	19206	13842	10592	11	5	14	13277	15859	22003	8552	11369	11022	5703	25918	21415	10541	20	9010	12	1539	14080	15896	4067	24501	11585	5	3	6	6	6	4	216	152	26	29	981	2470	461	11	5	4	12	5	5	5	7	11	7	587	258	471	210	1027	744	1872	1629	431	495	9	693	6	1572	6229	11483	3739	5334	2558	117	9	5	8	1	5	2	4	9	12	3	5
asv7	0	2588	2032	2811	5219	5826	25	16730	17562	9788	8908	2116	1636	1536	2315	3014	1058	55	714	24	604	5348	4932	10025	14315	16584	2	0	4334	9	14096	22473	24	14	16	12	520	1231	1769	5180	6543	607	234	4	5	2361	2564	3312	222	1805	3023	1240	519	510	179	1023	481	738	469	339	402	205	283	3717	2307	1850	2504	998	35	119	7	21999	3	789	3	1	16	5	501	1433
asv8	2961	85	47	56	270	292	2484	214	171	157	89	125	108	94	176	132	97	3066	79	2978	1705	542	348	503	247	220	3041	1674	686	720	678	554	13	19	10	5	37	90	46	21	16	6348	6436	3	6	5	1	0	3027	2876	972	276	135	124	22	94	29	24	16	2581	47	3076	23351	19917	17755	7332	5861	3956	174	670	61	4	1	6	1	26534	23729	21315	11226	9485
asv9	2021	63	58	58	12128	4942	1968	335	1637	798	608	189	133	84	160	108	66	2585	53	2625	855	284	184	271	100	145	2513	1399	11105	27126	14648	7013	3	7	13	10	33	64	86	18	14	14878	12036	23	13	0	2	5	4614	408	280	92	105	115	21	50	26	18	28	4765	21	7455	1152	658	945	586	532	339	9	622	6	8	0	1	10	358	14820	21642	18305	18988
asv10	0	2166	1964	1170	6800	8187	68	8227	7435	8201	4801	6637	2983	1594	1702	1531	993	111	1829	78	346	3009	2977	2240	4018	4585	7	4	39	3461	8440	10532	6	3	11	2	4322	4068	11149	2079	11534	2588	4092	4	3	3426	3199	4293	813	1240	1703	2181	1262	8390	1410	4669	1746	1511	4186	1312	6434	1725	194	477	1027	520	3932	2024	49	160	8	426	4838	875	3	2	3	2460	795	2521
asv11	0	18708	14359	13356	1	0	4	912	7993	10534	7609	23175	15415	10487	23084	20498	16571	4	12294	8	5	8	10	1	25	141	5	0	3	0	4	2	1	3	6	6	442	833	228	2	1	4	8	0	3	3	6	4	3	2	62	68	24	488	168	1285	381	131	227	11	273	2	1	1	5	8	14	4	0	1	2	4	0	1	2	3	2	3	3	4
asv12	0	37	39	42	6	7	4	73	74	63	69	57	76	22	94	43	20	2	37	24	8	15	38	16	8	19	16	0	4	5	0	0	8	0	2	4	11256	16096	14387	1	246	3	4	0	1	144	175	242	81	5710	9793	12312	9330	17433	13986	17995	21475	5945	12425	128	7704	206	82	153	225	128	553	1645	159	3	76	2	12937	2	3	4	1	1	4	3
asv13	0	470	350	230	532	2606	4	1915	1422	1541	892	747	304	241	425	423	339	11	318	11	81	1237	1138	1158	2113	1627	6	0	228	2	5	15	32	20	18	16	1557	1645	1890	12	58475	983	1257	0	4	420	462	554	137	7780	4776	7370	4912	4987	6367	4773	3410	1089	2103	105	2101	198	318	1334	2193	1002	5394	8960	231	22	6	3	4	0	4	1	1008	5	16	7
asv14	0	160	173	121	9865	14016	32	1409	477	534	397	600	287	76	203	210	210	49	98	37	860	10249	7842	6614	9825	5456	9	2	3346	1	12432	4306	8	10	5	8	12	27	38	11	4	2223	2849	2	1	1117	1405	1685	233	6406	1762	201	185	82	7	22	10	2	23	299	7	318	205	387	502	412	4402	10987	98	5	44	0	1	0	1	1	17	1	3989	2305
asv15	0	104	75	157	0	1	11	8848	307	2281	2309	1449	278	119	85	179	120	10	50	11	18	138	73	21	703	3091	5	3	1	6	4	2	6	3	1	0	784	2966	2148	3	2	0	0	0	0	1010	1367	1804	140	16652	738	23368	27763	21420	3057	1954	170	478	652	182	71	207	12	23	15	7	758	3206	176	91	0	6	3	3	0	1	2	0	2	0
asv16	0	3813	2604	5793	5	1	1	3954	9611	5566	1997	2730	5270	1484	2794	7511	11177	10	2613	7	61	11377	6092	10170	2635	8104	2	5	3	0	3	4	33	32	28	35	185	397	308	7	3	3	1	2	5	4	3	2	0	442	169	80	34	105	101	306	51	91	177	4	116	11	43	653	918	863	474	139	6	0	2	0	1	3	4	1	5	3	5	3
asv17	0	2695	2710	1220	0	2	2	1081	1277	850	825	1553	1027	830	1438	2086	970	2	886	2	4	43	44	68	163	602	9	1	1	3	1	5	11	7	24	17	2759	8539	5326	0	4	3	1	2	2	3	8	3	4	1311	5679	9754	6636	18357	4423	10659	9211	1534	1911	0	1634	7	5	15	25	13	52	510	60	32	15	1	16	1	0	0	1	0	0	1
asv18	1	4566	2566	2699	4	1	3	6386	3347	8680	3050	3168	2866	2964	4077	2070	7009	4	4509	5	337	7229	5614	7571	9686	3439	4	2	2	2	2	1	627	315	43	27	232	464	97	1	1	0	4	5	5	27	25	27	9	438	146	190	99	197	123	869	164	29	165	19	267	15	56	1642	1691	2264	2880	1851	8	0	1	0	0	2	2	2	0	1	2	3
asv19	9	5	4	14	18	14	25	16	17	18	12	13	10	2	19	3	8	12	3	15	32	61	59	51	35	18	5	17	6	2	7	0	512	663	575	806	1402	203	177	28946	261	24	10	7	5	1775	1634	2034	1015	1319	890	751	523	8	351	253	244	206	93	1239	83	2402	1045	861	1243	762	1659	25	92	50	47	756	302	29097	5	5	14	14	8	12
asv20	0	236	15	177	9	11	2	0	0	1	0	4	5	20	173	104	95	0	397	0	0	0	6	5	11	0	0	0	6	8	0	0	7	0	6	6	6621	4257	23547	2	4	1	1	0	0	1	1	5	1	3	9	9	0	12	0	1320	682	6130	14787	3	24197	3	10	0	0	0	2	2	392	2	43	0	4	2	3	5	0	0	0	1
asv21	0	12393	3739	4220	4	0	0	3	1	6	25	3	8193	2598	13800	4335	12003	0	8602	3	5	2	11	0	0	1	1	0	0	0	0	0	3	3	5	1	2260	1653	431	0	1	2	2	1	2	0	2	0	2	0	3	3	5	0	1402	1853	2014	245	949	0	1221	2	0	1	0	0	3	0	0	0	1	1	0	0	0	0	1	0	1	2
asv22	0	23	10	8	0	3	1	27	10	13	15	18	32	8	28	22	12	1	11	3	4	2	11	5	7	10	5	5	4	3	0	2	6	5	1	2	7826	2288	4446	2	4	2	1	1	37	0	2	0	1	2495	3798	7526	7559	13383	8171	8106	5255	1644	3419	1	1931	4	3	7	7	4	38	224	83	2	46	1	1	0	2	2	2	4	2	1
asv23	0	1557	929	989	0	2	4	2814	4977	4748	2060	4655	2478	1252	732	489	483	15	1855	2	200	3055	2297	2085	2746	2950	0	1	1	1	0	31857	1	0	7	0	111	187	40	0	10	2	0	0	0	47	54	82	11	7	66	65	38	148	86	352	13	9	22	18	77	23	19	17	44	19	13	12	7	3	1	1	0	0	0	1	1	10	0	719
asv24	7374	593	493	721	554	963	4646	1128	1255	1036	736	970	1018	603	1606	1259	933	6879	553	5755	2120	2100	1253	2077	1720	1058	7330	3253	1698	1753	1401	1136	0	0	0	1	65	166	54	0	1	7	7	0	0	0	1	0	2709	5	32	19	14	67	46	123	99	34	46	2487	41	2089	548	19	10	25	6	8	0	0	0	1	0	1	2	9	4	8	5	34
asv25	0	3863	2390	3674	2	24740	4	28	94	143	49	328	555	1089	5461	6908	5483	16	1976	5	3	1	4	3	4	12	0	0	0	1	0	0	6	2	50	35	836	1365	577	10	1	2	11681	0	1	4	1	9	35	6	7	3	5	80	67	910	897	347	509	0	359	14	2	5	3	1	5	3	0	0	0	5	0	0	0	3	0	0	0	1
asv26	0	146	95	156	5935	6698	13	1057	709	499	657	265	155	56	177	124	111	13	98	12	663	1511	1409	1296	1109	1135	0	12951	2603	1424	4606	4160	1	12	2	0	19	11	10	18	714	206	121	2	1	52	52	80	20	158	104	55	30	162	4	1	3	5	6	33	4	24	33	876	1405	1334	1802	509	34	112	38	33	447	6	1	8	15529	134	216	269
asv27	0	38	25	21	3217	5	18	396	368	221	107	76	43	25	60	55	22	5	11	7	169	1141	1058	1104	477	332	1	8309	3548	5923	9850	6698	8	12	4	1	3	11	9	18	272	263	3	0	2	15	8	17	2	151	91	42	31	176	8	9	3	2	4	8	2	8	6	62	123	90	775	366	20	54	24	4307	0	6	3	7	16325	1655	1358	830
asv28	6	24	22	19	36	37	48	26	24	16	21	22	23	15	34	20	28	30	32	36	33	44	43	45	19	20	17	14	9	3	7	9	7437	7995	4282	6000	268	312	141	168	281	31	16	9	9	5632	7492	8772	2048	269	140	197	101	32	86	97	92	61	91	2620	54	3789	693	248	506	224	307	113	2338	298	979	1206	837	64	7	11	8	17	14	41
asv29	0	6993	4067	7420	2	1	1	870	0	4765	1659	496	2824	2385	6643	9271	4207	1	3649	0	5	1	5	4	16	119	5	0	1	0	0	0	5	5	13	19	1054	1607	868	0	2	0	3	0	2	2	0	1	0	5	0	236	75	66	322	1455	832	334	243	0	427	0	0	1	0	0	0	0	1	2	0	0	2	0	0	0	1	1	0	1
asv30	7234	416	295	247	234	506	3839	943	1060	754	625	718	626	383	1024	833	703	5722	441	3533	1820	1354	1618	1796	1554	854	7113	2941	1182	1139	841	629	0	0	0	0	35	86	20	2	0	4	4	0	2	0	2	0	2491	9	14	27	9	21	19	48	52	9	13	2055	14	1545	474	7	8	12	6	6	0	0	0	0	0	1	0	10	1	2	10	12
asv31	0	14	20	15	11	2	43	50	52	83	38	54	63	37	108	121	64	50	73	48	245	281	231	197	118	81	7	1	4	2	15	48	1	2	1	1	292	252	318	3	38	5	11	0	0	6583	6314	8348	2834	2038	1189	415	184	270	70	188	203	120	307	3883	163	7355	3326	1142	2473	1545	2463	2625	270	16	51	28	100	3	5	2	4	2	11	53
asv32	0	205	214	130	70	338	1	702	447	419	364	460	339	164	305	201	219	6	174	1	48	684	468	601	647	518	14	0	1	1	2	2	56	29	113	40	473	562	898	1624	7455	404	753	0	0	135	159	210	65	1678	557	228	75	280	49	218	45	217	642	53	585	139	72	180	283	168	513	264	16	4	2	2	20320	0	0	0	33	2	9	1
